Tematica,Nome Curso,Qtd. de Matrículas,Qtd. Inscrições Concluídas,% de Conclusão de Curso
Gestão da Informação e do Conhecimento,Noções Gerais de Direitos Autorais,43950,15789,"35,92%"
Gestão da Informação e do Conhecimento,Procedimentos de Protocolo,2467,1037,"42,03%"
Gestão da Informação e do Conhecimento,Projeto de interface para Serviços Digitais,1255,349,"27,81%"
Gestão da Informação e do Conhecimento,Sistema Eletrônico de Informações - SEI! ADMINISTRAR,20766,6159,"29,66%"
Gestão de Pessoas,Comissão de PAR,7700,2996,"38,91%"
Gestão de Pessoas,DW Aduaneiro,102,92,"90,20%"
Gestão de Pessoas,Gestão de Conflitos e Negociação,31429,12911,"41,08%"
Gestão de Pessoas,Gestão de Equipes em Trabalho Remoto,28535,16876,"59,14%"
Gestão de Pessoas,Gestão Estratégica de Pessoas no Setor Público e o Sistema de Carreiras,4130,1049,"25,40%"
Gestão de Pessoas,Gestão por Competências,48310,20550,"42,54%"
Gestão de Pessoas,Introdução ao Sistema Sigepe - AFD,6310,3095,"49,05%"
Gestão de Pessoas,Introduction to competency-based management,2637,414,"15,70%"
Gestão de Pessoas,Lei nº 8.112/90 e suas alterações,13294,8661,"65,15%"
Gestão de Pessoas,Liderança e Gestão de Equipes,41342,23901,"57,81%"
Gestão de Pessoas,Noções básicas do Trabalho Remoto,42551,31755,"74,63%"
Gestão de Pessoas,Provas no Processo Administrativo Disciplinar,27707,14119,"50,96%"
Gestão de Pessoas,Redação Oficial e Noções de SEI e suas aplicações,13011,5894,"45,30%"
Gestão de Pessoas,Siape Cadastro,15368,6871,"44,71%"
Gestão de Pessoas,Siape Folha,17662,8211,"46,49%"
Gestão de Pessoas,Supervisão de Estágio,439,216,"49,20%"
Gestão Pública,Análise Ex Ante de Políticas Públicas,29395,10328,"35,14%"
Gestão Pública,ASP-Conceitos essenciais,57,48,"84,21%"
Gestão Pública,Autoconhecimento e Motivação,7362,2808,"38,14%"
Gestão Pública,Avaliação de Impacto de Programas e Políticas Sociais,38236,4841,"12,66%"
Gestão Pública,Avaliação Ex-Post de Políticas Públicas,1289,408,"31,65%"
Gestão Pública,Blockchain aplicada a resolução de problemas na Administração Pública,1626,441,"27,12%"
Gestão Pública,Conceitos Essenciais para Avaliação Socioeconômica de Projetos,477,206,"43,19%"
Gestão Pública,Consórcios Públicos Intermunicipais,1244,67,"5,39%"
Gestão Pública,Criatividade e Inovação Aplicada ao Serviço Público,4826,1990,"41,23%"
Gestão Pública,Elaboração de Plano de Contingência para Risco de Desastres de Movimento de Massa - Curso 2,529,150,"28,36%"
Gestão Pública,Elaboração de Plano de Logística Sustentável,6342,2325,"36,66%"
Gestão Pública,Elaboração do Plano de Contingência para Riscos de Desastres,2212,685,"30,97%"
Gestão Pública,"Elaboração Legislativa no Executivo: Legística, Governança e Avaliação",2338,845,"36,14%"
Gestão Pública,Equilíbrio Fiscal,11230,6921,"61,63%"
Gestão Pública,Estratégias de Logística na Administração Pública,4620,1183,"25,61%"
Gestão Pública,Estruturas de Gestão Pública,16489,5085,"30,84%"
Gestão Pública,Estruturas Organizacionais do Poder Executivo Federal - Siorg,2643,789,"29,85%"
Gestão Pública,Estudo Técnico Preliminar Avançado para Contratação de Soluções de TIC,2439,758,"31,08%"
Gestão Pública,Fundamentos de Convênios com Utilização do Siconv,6608,1719,"26,01%"
Gestão Pública,Gestão de Comportamento nas Organizações,7944,4275,"53,81%"
Gestão Pública,Gestão de Direitos no Processo de Financiamento de Projetos Audiovisuais com Recursos Públicos,1645,293,"17,81%"
Gestão Pública,Gestão de Políticas Públicas para Pequenos Negócios,4185,2183,"52,16%"
Gestão Pública,Gestão de Politicas Públicas para Pequenos Negócios - Aquisições públicas,2007,765,"38,12%"
Gestão Pública,Gestão de Riscos em Processos de Trabalho (baseada na ISO 31000/2018),296,104,"35,14%"
Gestão Pública,Gestão dos recursos vinculados à educação básica pública municipal e o novo Fundeb,1726,682,"39,51%"
Gestão Pública,Gestão participativa nas cidades,729,364,"49,93%"
Gestão Pública,Introdução à Promoção de Negócios Internacionais,3501,1855,"52,98%"
Gestão Pública,Novas Tecnologias para a Transformação Digital,6008,3378,"56,23%"
Gestão Pública,Prestação de contas e qualidade da gestão fiscal do município,1311,547,"41,72%"
Gestão Pública,Proteção e Defesa Civil: Gestão de Risco - Curso 3,1945,826,"42,47%"
Gestão Pública,S2ID - Estadual - M1 - Registro e Reconhecimento,2521,1399,"55,49%"
Gestão Pública,S2ID - Estadual - M2 - Execução das Ações de Resposta,245,118,"48,16%"
Gestão Pública,S2ID - Estadual - M2 - Solicitação de Recursos,1042,449,"43,09%"
Gestão Pública,S2ID - Federal - M1 - Análise da Solicitação de Reconhecimento Federal,2105,915,"43,47%"
Gestão Pública,S2ID - M0 - Acesso ao Sistema,6481,3247,"50,10%"
Gestão Pública,S2ID - M1 - Usuário Municipal - Registro e Reconhecimento,4318,2260,"52,34%"
Gestão Pública,S2ID - M2 - Estadual - Prestação de Contas das Ações de Resposta,172,58,"33,72%"
Gestão Pública,S2ID - M2 - Federal - Execução das Ações de Resposta,74,41,"55,41%"
Gestão Pública,S2ID - M2 - Federal - Liberação de Recursos para Ações de Resposta,465,122,"26,24%"
Gestão Pública,S2ID - M2 - Federal - Prestação de Contas das Ações de Resposta,121,46,"38,02%"
Gestão Pública,S2ID - M2 - Federal - Solicitação de Recursos para Ações de Resposta,91,28,"30,77%"
Gestão Pública,S2ID - M2 - Municipal - Prestação de Contas das Ações de Resposta,543,192,"35,36%"
Gestão Pública,S2ID - M2 - Usuário Municipal - Solicitação de Recursos para Ações de Resposta,1913,862,"45,06%"
Gestão Pública,S2ID - M3 - Estadual - Solicitação de Recursos para Obras de Reconstrução,278,114,"41,01%"
Gestão Pública,S2ID - M3 - Federal - Acompanhamento das Obras de Reconstrução,128,21,"16,41%"
Gestão Pública,S2ID - M3 - Usuário Estadual - Acompanhamento das Obras de Reconstrução,254,117,"46,06%"
Gestão Pública,S2ID - M3 - Usuário Federal - Liberação de Recursos para Obras de Reconstrução,284,61,"21,48%"
Gestão Pública,S2ID - M3 - Usuário Federal - Solicitação de Recursos para Obras de Reconstrução,172,31,"18,02%"
Gestão Pública,S2ID - M3 - Usuário Municipal - Solicitação de Recursos para Obras de Reconstrução,1806,677,"37,49%"
Gestão Pública,S2ID - M4 - Plano de Contingência,609,273,"44,83%"
Gestão Pública,S2ID - M5 - Plantonista - Monitoramento,576,134,"23,26%"
Gestão Pública,Scrum no Contexto do Serviço Público,6558,3705,"56,50%"
Gestão Pública,Solução Pacífica de Conflitos no âmbito da Administração Pública,8690,4629,"53,27%"
Gestão Pública,Termo de Compromisso: Atos Preparatórios,214,52,"24,30%"
Gestão Pública,Termo de Compromisso: Execução,605,88,"14,55%"
Gestão Pública,Termo de Compromisso: Prestação de Contas,2093,480,"22,93%"
Gestão Pública,Uso do Design em Políticas Públicas,2705,963,"35,60%"
Governo e Transformação Digital,Abordagem Lean aplicada à Transformação Digital na Administração Pública,2064,509,"24,66%"
Governo e Transformação Digital,Administração de Serviços na Nuvem de Governo,6067,3300,"54,39%"
Governo e Transformação Digital,Administración de servicios gubernamentales en la nube,286,13,"4,55%"
Governo e Transformação Digital,Administration of Government Cloud Services,516,79,"15,31%"
Governo e Transformação Digital,Análise de dados como suporte à tomada de decisão,24202,7008,"28,96%"
Governo e Transformação Digital,Análise de riscos para contratações de TIC,1634,780,"47,74%"
Governo e Transformação Digital,Aprendendo com Python,5968,1219,"20,43%"
Governo e Transformação Digital,Avaliação da qualidade de serviços como base para gestão e melhoria de serviços públicos,19853,10070,"50,72%"
Governo e Transformação Digital,Cadastro de informações sobre serviços no Portal Gov.br,654,155,"23,70%"
Governo e Transformação Digital,Creatividad y Nuevas Tecnologías en el Servicio Público,155,51,"32,90%"
Governo e Transformação Digital,Creativity and new technologies at the work environment,456,91,"19,96%"
Governo e Transformação Digital,Criatividade e Novas Tecnologias no Serviço Público,41439,21520,"51,93%"
Governo e Transformação Digital,Criatividade e Novas Tecnologias para facilitar o seu dia a dia no trabalho,3261,1573,"48,24%"
Governo e Transformação Digital,Cultura Organizacional Ágil Aplicada ao Contexto Público,994,295,"29,68%"
Governo e Transformação Digital,Defesa do Usuário e Simplificação,28756,18456,"64,18%"
Governo e Transformação Digital,Design Sprint em Projetos de Transformação Digital,2215,612,"27,63%"
Governo e Transformação Digital,Federalismo Fiscal no Brasil,3466,1544,"44,55%"
Governo e Transformação Digital,Fiscalização e Gestão de Contratos de TIC,4705,1479,"31,43%"
Governo e Transformação Digital,Gerenciamento de serviços de TIC focado na Administração Pública,1213,334,"27,54%"
Governo e Transformação Digital,Gestão Pessoal - Base da Liderança,154257,66386,"43,04%"
Governo e Transformação Digital,Governança de Dados na Transformação Digital,2073,678,"32,71%"
Governo e Transformação Digital,Governança de TIC no contexto da transformação digital,991,328,"33,10%"
Governo e Transformação Digital,Governança de TIC para o Governo Digital,2631,915,"34,78%"
Governo e Transformação Digital,Governo Aberto,11911,4357,"36,58%"
Governo e Transformação Digital,Inteligência Artificial no Contexto do Serviço Público,7403,4330,"58,49%"
Governo e Transformação Digital,Internet das coisas (IoT) aplicada para resolução de desafios,1501,587,"39,11%"
Governo e Transformação Digital,Learning with Python,6713,1244,"18,53%"
Governo e Transformação Digital,Mundo Conectado – Manual de Sobrevivência,22570,12619,"55,91%"
Governo e Transformação Digital,O papel do DevOps na Transformação Digital dos Serviços Públicos,1676,777,"46,36%"
Governo e Transformação Digital,Orçamento Público: Conceitos Básicos,31767,16287,"51,27%"
Governo e Transformação Digital,Planejamento da Contratação de Soluções de TIC,3736,1326,"35,49%"
Governo e Transformação Digital,PRINCE2 - Outra maneira de gerenciar projetos na administração pública,662,190,"28,70%"
Governo e Transformação Digital,Principais Aspectos das Mudanças da Contabilidade Aplicada ao Setor Público,12830,4408,"34,36%"
Governo e Transformação Digital,Proteção de Dados Pessoais no Setor Público,50527,30603,"60,57%"
Governo e Transformação Digital,Segurança da Informação no contexto da transformação digital,4010,2150,"53,62%"
Governo e Transformação Digital,SEI! Usar para Deficientes Visuais,1421,264,"18,58%"
Governo e Transformação Digital,SUPER.BR - Usuário Interno Básico,1181,690,"58,43%"
Governo e Transformação Digital,Transformação Digital no Serviço Público,5345,2442,"45,69%"
Governo e Transformação Digital,Uso responsável das TICs,1014,567,"55,92%"
Governo e Transformação Digital,UX: Como Melhorar a Experiência do Usuário no Serviço Público Digital,1885,505,"26,79%"
Infraestrutura,Avaliação de Bens e Imóveis com Foco no Método Evolutivo,2092,368,"17,59%"
Infraestrutura,Conhecendo o PROARTE,420,120,"28,57%"
Infraestrutura,Introdução à Auditoria de Obras Públicas,1760,214,"12,16%"
Infraestrutura,Introdução à orçamentação de obras rodoviárias,4717,1257,"26,65%"
Infraestrutura,Metrologia Básica,5523,1378,"24,95%"
Infraestrutura,"Misturas Asfálticas - Conceituação, Materiais e Dosagem",2112,623,"29,50%"
Infraestrutura,Obras Públicas de Edificação e de Saneamento - Módulo Planejamento,11338,3272,"28,86%"
Infraestrutura,Resiliência Climática na Infraestrutura de Transportes,1014,328,"32,35%"
Inovação,Abertura de empresas: como redesenhar e simplificar processos,7135,2188,"30,67%"
Inovação,Ações Inovadoras da CGU,4674,2307,"49,36%"
Inovação,BIM - Conceituação Básica,2120,579,"27,31%"
Inovação,BIM - Fluxos de Trabalho,512,107,"20,90%"
Inovação,BIM - Implantação,544,136,"25,00%"
Inovação,Design Thinking para Inovação em Governo,14228,6592,"46,33%"
Inovação,Direito e Novas Tecnologias,8128,4047,"49,79%"
Inovação,Gestão da Inovação no Setor Público,4908,3003,"61,19%"
Inovação,Gestão de Riscos no Setor Público,32462,12695,"39,11%"
Inovação,Integração e Interoperabilidade BIM,255,65,"25,49%"
Inovação,Inteligência Artificial para simplificar o dia a dia,4358,2333,"53,53%"
Inovação,Pesquisa com usuários: como ouvir cidadãos e empresas para melhorar seus serviços,7618,4182,"54,90%"
Inovação,Primeiros passos para uso de Linguagem Simples,31914,17328,"54,30%"
Inovação,Segurança em Máquinas e Equipamentos NR12 - Apreciação e Redução de Risco,15364,3738,"24,33%"
Liderança,A liderança pública em tempos de crise,28920,14051,"48,59%"
Liderança,Desenvolvendo Times de Alta Performance,26212,14354,"54,76%"
Liderança,Emotional Intelligence,1286,96,"7,47%"
Liderança,Inteligencia Emocional,12870,854,"6,64%"
Liderança,Inteligência Emocional,97144,33693,"34,68%"
Logística e Compras Públicas,Acompanhamento e Fiscalização de Contratos Administrativos na Receita Federal do Brasil,381,133,"34,91%"
Logística e Compras Públicas,Aplicação de Penalidades nos Contratos Administrativos,8896,4875,"54,80%"
Logística e Compras Públicas,Aquisições de TI - Da origem da demanda ao resultado,675,68,"10,07%"
Logística e Compras Públicas,Como Fiscalizar com Eficiência Contratos Públicos,10099,5660,"56,05%"
Logística e Compras Públicas,Compras sustentáveis e a nova lei de licitações,4254,1252,"29,43%"
Logística e Compras Públicas,Conservação Preventiva para Acervos Museológicos,16197,6816,"42,08%"
Logística e Compras Públicas,Contratações de Encomendas Tecnológicas,1375,240,"17,45%"
Logística e Compras Públicas,Contratos administrativos - Pagamento pelo fato gerador,2981,568,"19,05%"
Logística e Compras Públicas,Curso Básico de Licitações - Enfrentando (e vencendo) tabus,48356,21294,"44,04%"
