Tematica,Nome Curso,Qtd. de Matrículas,Qtd. Inscrições Concluídas,% de Conclusão de Curso
Orçamento e Finanças,Educação Fiscal - Orçamento e Coesão Social,4990,2365,"47,39%"
Orçamento e Finanças,Elaboração de Plano de Dados Abertos,9793,4622,"47,20%"
Orçamento e Finanças,Elaboração e Avaliação do PPA: bases conceituais,1008,289,"28,67%"
Orçamento e Finanças,Execução Financeira e Prestação de Contas Referentes aos Projetos Audiovisuais,3684,548,"14,88%"
Orçamento e Finanças,Gestão Fiscal Municipal,1234,477,"38,65%"
Orçamento e Finanças,Gestão Orçamentária e Financeira,25906,8520,"32,89%"
Orçamento e Finanças,Gestão Tributária Municipal,18942,6562,"34,64%"
Orçamento e Finanças,"Instrumentos de Planejamento: PPA, LDO e LOA",4165,1695,"40,70%"
Orçamento e Finanças,Introdução ao Federalismo Fiscal no Brasil,1922,898,"46,72%"
Orçamento e Finanças,Introdução ao Orçamento Público,44077,21676,"49,18%"
Orçamento e Finanças,Lei de Diretrizes Orçamentárias para Municípios,16571,5298,"31,97%"
Orçamento e Finanças,Lei de Responsabilidade Fiscal (LRF) e Novo Regime Fiscal (NRF),10510,5727,"54,49%"
Orçamento e Finanças,Modelo de Excelência em Gestão dos Órgãos e Entidades que Operam Transferências da União – MEG-Tr,8400,4753,"56,58%"
Orçamento e Finanças,Orçamento Público,16800,6218,"37,01%"
Orçamento e Finanças,Planejamento para Implementação do Modelo de Excelência em Gestão das Transferências da União,4825,3155,"65,39%"
Orçamento e Finanças,Plano de Melhoria da Gestão das Transferências da União,3414,2393,"70,09%"
Orçamento e Finanças,Primeira Infância Primeiro no PPA,3327,740,"22,24%"
Orçamento e Finanças,Processo Legislativo Orçamentário - Orçamento Impositivo,1692,667,"39,42%"
Orçamento e Finanças,Siafi Básico,14427,6557,"45,45%"
Orçamento e Finanças,Siafi Ordens Bancárias,6278,2626,"41,83%"
Orçamento e Finanças,Siconv - Ordem Bancária de Transferência Voluntária (OBTV) - Concedente,10386,4337,"41,76%"
Orçamento e Finanças,Siconv para Convenentes 1 - Visão Geral,28056,12774,"45,53%"
Orçamento e Finanças,Siconv para Convenentes 2 - Proponentes e Usuários,15764,8292,"52,60%"
Orçamento e Finanças,Siconv para Convenentes 3 - Proposta e Plano de Trabalho,14664,7782,"53,07%"
Orçamento e Finanças,Siconv para Convenentes 4 - Execução,12906,5844,"45,28%"
Orçamento e Finanças,Siconv para Convenentes 5 - Prestação de Contas,12896,5947,"46,12%"
Orçamento e Finanças,Tesouro Direto,24239,10563,"43,58%"
Orçamento e Finanças,Tesouro Gerencial,10146,4868,"47,98%"
Orçamento e Finanças,Transferências Discricionárias da União: Atos Preparatórios,819,369,"45,05%"
Orçamento e Finanças,Transferências Discricionárias da União: Execução,875,342,"39,09%"
Orçamento e Finanças,Transferências Discricionárias da União: Prestação de Contas,1044,517,"49,52%"
Orçamento e Finanças,Validação do Relatório de Melhoria da Gestão das Transferências da União,3291,2272,"69,04%"
Políticas Públicas,Acesso a Recursos do Saneamento: Mecanismos OGU - NÃO PAC (Transferências Voluntárias) /Curso 3,3547,963,"27,15%"
Políticas Públicas,Acesso a Recursos do Saneamento: Mecanismos OGU-PAC (Transferências Obrigatórias)/Curso 2,4012,1212,"30,21%"
Políticas Públicas,Acesso a Recursos do Saneamento: Mecanismos PAC - Financiamento/Curso 4,2910,922,"31,68%"
Políticas Públicas,Acesso a Recursos do Saneamento: Regras Gerais para Acesso aos Recursos de Saneamento/Curso 1,6002,2255,"37,57%"
Políticas Públicas,Agenda 2030 para o desenvolvimento sustentável: desafios para a implementação,2970,919,"30,94%"
Políticas Públicas,"Agenda para o desenvolvimento sustentável: conceitos, mobilização e articulação",2648,736,"27,79%"
Políticas Públicas,Ambiente e Condições para o Desenvolvimento Produtivo Local,585,198,"33,85%"
Políticas Públicas,Aspectos técnicos dos extremos geo-hidrológicos no país e as diferenças regionais,960,255,"26,56%"
Políticas Públicas,Avaliação estratégica de governo,935,250,"26,74%"
Políticas Públicas,Avaliação qualitativa de risco: exposição a agentes químicos,1840,280,"15,22%"
Políticas Públicas,Behavioral Economics in public policies development,714,177,"24,79%"
Políticas Públicas,Biodiesel - Contexto e Métodos,7979,2603,"32,62%"
Políticas Públicas,Biossegurança em laboratórios de ensino e pesquisa,4043,1336,"33,04%"
Políticas Públicas,Boas Práticas de Manipulação em Serviços de Alimentação,146391,98385,"67,21%"
Políticas Públicas,CAIXA: Banco Público Atuando para o Desenvolvimento do Município,731,264,"36,11%"
Políticas Públicas,Cidades Inteligentes,1986,791,"39,83%"
Políticas Públicas,Concepção de projetos audiovisuais e fontes de financiamento,7345,1785,"24,30%"
Políticas Públicas,Desenvolvimento humano no século XXI,1711,534,"31,21%"
Políticas Públicas,"Elaboração de políticas, programas e projetos para o desenvolvimento humano e sustentável",1916,630,"32,88%"
Políticas Públicas,Fiscalização na Gestão do Patrimônio da União,5819,1941,"33,36%"
Políticas Públicas,Formação para Voluntariado com Mães,975,283,"29,03%"
Políticas Públicas,Gestão Compartilhada no Projeto Orla,868,183,"21,08%"
Políticas Públicas,Infraestrutura Econômica e Urbana,915,210,"22,95%"
Políticas Públicas,Inovação Social para o Aperfeiçoamento de Políticas Públicas,19125,8621,"45,08%"
Políticas Públicas,International Futures e Painéis Covid-19: cenários e prospecção de futuro,511,214,"41,88%"
Políticas Públicas,Metodologia de Concepção do Alerta: da teoria à prática,422,101,"23,93%"
Políticas Públicas,Noções básicas de SST para pequenos negócios,2743,879,"32,05%"
Políticas Públicas,Nova Lei de Licitações: Gestão Contratual,16763,4107,"24,50%"
Políticas Públicas,Novo marco regulatório do saneamento básico,1407,431,"30,63%"
Políticas Públicas,O Brasil e a OCDE: Noções Básicas,315,55,"17,46%"
Políticas Públicas,Para que serve a análise ergonômica do trabalho,8945,2177,"24,34%"
Políticas Públicas,Parcerias Público-Privadas e Concessões,1924,85,"4,42%"
Políticas Públicas,PLATAFORMA +BRASIL - oportunidades de acesso aos recursos federais,1742,592,"33,98%"
Políticas Públicas,Políticas Públicas de Assistência Social,5132,1384,"26,97%"
Políticas Públicas,Políticas Públicas de Educação,3290,1116,"33,92%"
Políticas Públicas,Políticas Públicas de Saúde,4843,1532,"31,63%"
Políticas Públicas,Políticas Públicas e Governo Local,31639,14720,"46,52%"
Políticas Públicas,Preparando-se para Execução,420,158,"37,62%"
Políticas Públicas,Proteção e Defesa Civil: atuação no Âmbito Municipal,3980,1875,"47,11%"
Políticas Públicas,Proteção e Defesa Civil: Gestão de Desastre - Curso 4,1259,373,"29,63%"
Políticas Públicas,Reconhecimento de Riscos Químicos nos Ambientes de Trabalho,8043,1632,"20,29%"
Políticas Públicas,S2ID - M2 - Usuário Municipal - Execução das Ações de Resposta,1016,413,"40,65%"
Políticas Públicas,Salve uma Mulher,5489,3361,"61,23%"
Políticas Públicas,Sistemas de monitoramento e alerta como suporte à gestão local de riscos e desastres,746,173,"23,19%"
Políticas Públicas,Transferências da União: Visão Geral,1280,631,"49,30%"
Políticas Públicas,Transferências Especiais,924,147,"15,91%"
Políticas Sociais,Crianças e Adolescentes Migrantes,8086,2937,"36,32%"
Políticas Sociais,"MROSC 4 - Execução, Monitoramento e Avaliação",2549,1002,"39,31%"
Políticas Sociais,MROSC 5 - Prestação de Contas,2370,993,"41,90%"
Políticas Sociais,MROSC: Seleção e Celebração,1724,614,"35,61%"
Políticas Sociais,Proteção Socioassistencial a Migrantes em Situação de Vulnerabilidade ou Violação a Direitos,7875,3178,"40,36%"
Regulação,Análise de Impacto Regulatório: Conceitos Fundamentais,3411,1512,"44,33%"
Regulação,Avaliação de Equipamentos de Irrigação,319,123,"38,56%"
Regulação,Enquadramento de Corpos Dágua,1159,219,"18,90%"
Regulação,Etiquetado Ambiental Tipo I: sostenibilidad y competitividad para productos y servicios brasileños,94,14,"14,89%"
Regulação,"Gestão, Operação e Manutenção de Perímetros Irrigados",264,122,"46,21%"
Regulação,Guia de Orientação e Formulários do Plano de Ação de Emergência (PAE),253,34,"13,44%"
Regulação,Guia de Orientação e Formulários para Inspeções de Segurança de Barragem,262,37,"14,12%"
Regulação,"Introdução ao Manejo da Irrigação: como, quando e quanto irrigar",282,115,"40,78%"
Regulação,Logística no Comércio Exterior Aplicada à Receita Federal,13,7,"53,85%"
Regulação,MROSC - Planejamento e Transparência,2923,685,"23,43%"
Regulação,Noções de Ciência Política aplicada à Gestão de Recursos Hídricos,440,122,"27,73%"
Regulação,O arrolamento de bens para a proteção do crédito tributário no âmbito da Receita Federal,14,5,"35,71%"
Regulação,Proteção e Defesa Civil: introdução à Política Nacional - Curso 1,8768,4255,"48,53%"
Regulação,Relatório de Segurança de Barragens: o que é e para que serve,388,109,"28,09%"
Regulação,Rotulagem Ambiental Tipo I: Sustentabilidade e Competitividade para Produtos e Serviços Brasileiros,1485,231,"15,56%"
Regulação,S2ID - M3 - Usuário Municipal - Acompanhamento das Obras de Reconstrução,579,276,"47,67%"
Regulação,Type I Environmental Labeling course: Sustainability and Competitiveness for Brazilian Products and Services,132,16,"12,12%"
Saúde,Atendimento Pré-hospitalar em Acidentes com Armas de Fogo Aplicado à Receita Federal,15,6,"40,00%"
Saúde,Brigada da Pandemia da Covid 19: Retorno Seguro às Aulas Presenciais,5725,3802,"66,41%"
Saúde,Mindfulness para Redução de Ansiedade no Teletrabalho,6472,2531,"39,11%"
Saúde,Segurança do paciente e Qualidade em serviços de saúde,98823,30875,"31,24%"
Saúde,Segurança e Saúde do Trabalho no Contexto do Teletrabalho,4312,1373,"31,84%"
Saúde,Transmissão aérea: atualização após a Covid-19,4458,921,"20,66%"
Transferências da União,Gestão de Convênios para Concedentes,1587,713,"44,93%"
"Transparência, Controle e Participação",A Receita Federal e a Prevenção e Combate à Lavagem de Dinheiro e ao Financiamento do Terrorismo (PCLD/FT),422,163,"38,63%"
"Transparência, Controle e Participação",Accountability política,2030,940,"46,31%"
"Transparência, Controle e Participação",Acesso à Informação,61087,34324,"56,19%"
"Transparência, Controle e Participação",Admissibilidade Correcional,1152,622,"53,99%"
"Transparência, Controle e Participação",Ampliação da Capacidade de Investimentos do Município,556,152,"27,34%"
"Transparência, Controle e Participação",Análise de Atos de Concentração Horizontal,809,149,"18,42%"
"Transparência, Controle e Participação",Análise de Condutas Unilaterais Restritivas à Concorrência,958,249,"25,99%"
"Transparência, Controle e Participação",Armamento Institucional,952,618,"64,92%"
"Transparência, Controle e Participação",Atividade Correcional  - Visão Geral,14185,7574,"53,39%"
"Transparência, Controle e Participação",Atuação Gerencial das Ouvidorias para Melhoria da Gestão Pública,2010,921,"45,82%"
"Transparência, Controle e Participação",Auditoria de Gestão Documental: prepare-se para ser auditado,2420,550,"22,73%"
"Transparência, Controle e Participação",Auditoria e Controle Para Estatais,11339,4320,"38,10%"
"Transparência, Controle e Participação",Comissões Processantes,1043,487,"46,69%"
"Transparência, Controle e Participação",Compliance Concorrencial,4277,848,"19,83%"
"Transparência, Controle e Participação",Comunicações Processuais,1795,808,"45,01%"
"Transparência, Controle e Participação",Controle Social,72203,39631,"54,89%"
"Transparência, Controle e Participação",Controle social do orçamento público,887,213,"24,01%"
"Transparência, Controle e Participação",Controles na Administração Pública,45913,16517,"35,97%"
"Transparência, Controle e Participação",Documentos fiscais aplicados à vigilância e repressão de ações da Receita Federal,32,20,"62,50%"
"Transparência, Controle e Participação",Elaboração de Editais para Aquisições no Setor Público,1532,410,"26,76%"
"Transparência, Controle e Participação",Elaboração de Relatórios de Auditoria,20322,8088,"39,80%"
"Transparência, Controle e Participação",ForRisco - Gestão de Riscos para IES,1222,466,"38,13%"
"Transparência, Controle e Participação",Fotografia Institucional,240,56,"23,33%"
"Transparência, Controle e Participação",Fundamentos da Integridade Pública: Prevenindo a Corrupção,8661,5934,"68,51%"
"Transparência, Controle e Participação",Fundamentos de Transferências Voluntárias,602,54,"8,97%"
"Transparência, Controle e Participação",Gestão de Riscos em Processos de Trabalho (segundo o Coso),26965,13395,"49,68%"
"Transparência, Controle e Participação",Gestão em Ouvidoria,42581,22002,"51,67%"
"Transparência, Controle e Participação",Gestão em Ouvidoria para o Ministério Público,2643,1332,"50,40%"
"Transparência, Controle e Participação",Governo Aberto: Transparência e Dados Abertos,1032,374,"36,24%"
"Transparência, Controle e Participação",Grafoscopia e Documentoscopia,22,10,"45,45%"
"Transparência, Controle e Participação",Legislação Básica aplicada à Vigilância e Repressão,25,17,"68,00%"
"Transparência, Controle e Participação",Normas Internacionais de Auditoria Financeira - NIA,19179,5709,"29,77%"
"Transparência, Controle e Participação",Papéis de Trabalho em Auditoria Interna Governamental,2085,1049,"50,31%"
"Transparência, Controle e Participação",Prevenção à lavagem de dinheiro e ao financiamento do terrorismo,73027,42952,"58,82%"
"Transparência, Controle e Participação",Programa de Leniência Antitruste do CADE,8069,2588,"32,07%"
"Transparência, Controle e Participação",Regulamentação da Lei de Acesso à Informação nos Municípios,15416,8274,"53,67%"
"Transparência, Controle e Participação",Resolução de Conflitos Aplicada ao Contexto das Ouvidorias,23084,14589,"63,20%"
"Transparência, Controle e Participação",Serviços públicos e defesa do usuário,1885,585,"31,03%"
"Transparência, Controle e Participação",Sistema de Controle Interno da Administração e Procuradoria Municipal,1614,553,"34,26%"
"Transparência, Controle e Participação",Sistema Eletrônico de Informações - SEI! USAR,520741,272867,"52,40%"
"Transparência, Controle e Participação",Técnicas de Auditoria Interna Governamental,15117,6805,"45,02%"
"Transparência, Controle e Participação",Tratamento de Denúncias em Ouvidoria,19868,12625,"63,54%"
"Transparência, Controle e Participação",Tratamento de Denúncias em Ouvidoria para Ministério Público,1938,1001,"51,65%"
